country,dems_sum,repubs_sum,total_sum,year
Australia,61850,174000,235850,2000
Belgium,16250,19250,35500,2000
Bermuda,23000,52984,75984,2000
Canada,66890,137425,204315,2000
Denmark,32000,78850,111100,2000
France,313700,442446,756146,2000
Germany,378200,847400,1228100,2000
Ireland,91700,176291,267991,2000
Italy,11500,64500,76000,2000
Japan,60750,42450,103200,2000
Mexico,2000,31147,33147,2000
Netherlands,125140,355881,481521,2000
Singapore,5450,14750,20200,2000
South Korea,0,0,0,2000
Sweden,8000,41250,50250,2000
Switzerland,365790,715666,1083656,2000
UK,952725,2004534,2961259,2000
Australia,70019,42833,112852,2002
Belgium,31000,86750,117750,2002
Bermuda,94242,126705,220947,2002
Canada,92475,118900,211375,2002
Denmark,20750,53000,73750,2002
France,269490,386417,655907,2002
Germany,482539,928899,1411438,2002
Ireland,70120,259628,329748,2002
Italy,7500,44100,51600,2002
Japan,110128,114142,224270,2002
Luxembourg,3000,2500,5500,2002
Mexico,0,2000,2000,2002
Netherlands,196140,372753,568893,2002
Panama,24550,65100,89650,2002
Singapore,5250,10110,15360,2002
Sweden,6500,33995,40495,2002
Switzerland,508525,722412,1231937,2002
UK,951941,1876067,2829008,2002
Australia,137969,113498,252705,2004
Belgium,10900,46250,57150,2004
Bermuda,54124,145947,200071,2004
Canada,99000,175025,274025,2004
Denmark,33750,65175,98925,2004
France,186465,398725,585190,2004
Germany,503419,1076757,1580176,2004
Ireland,130700,420407,556107,2004
Italy,10500,61465,71965,2004
Japan,132900,232250,365150,2004
Luxembourg,8000,6500,14500,2004
Malaysia,0,0,0,2004
Mexico,0,0,0,2004
Netherlands,210792,351710,562502,2004
Panama,29000,90999,119999,2004
Singapore,13000,12500,25500,2004
Sweden,2500,43212,45712,2004
Switzerland,627219,1159776,1793495,2004
UK,1134677,2165154,3303331,2004
Australia,21088,8500,29588,2006
Belgium,15500,64750,80250,2006
Bermuda,116180,203700,323880,2006
Canada,116037,139975,260012,2006
Denmark,18500,80100,98600,2006
France,333065,589879,934444,2006
Germany,597990,1249599,1865089,2006
Ireland,144500,435500,592500,2006
Italy,12000,52000,64000,2006
Japan,168340,271199,440539,2006
Luxembourg,14500,14500,29000,2006
Malaysia,19000,8000,27000,2006
Netherlands,237000,394417,642517,2006
Panama,44000,153000,199000,2006
Singapore,14000,20500,34500,2006
Sweden,4250,46872,52122,2006
Switzerland,923928,1564121,2530549,2006
UK,1427575,2854036,4333611,2006
Australia,25158,13750,38908,2008
Belgium,929223,808424,1737647,2008
Bermuda,198350,160300,358650,2008
Brazil,25000,53500,78500,2008
Canada,257450,182600,440050,2008
Denmark,146044,136250,282294,2008
France,527440,401450,928890,2008
Germany,964587,955317,1919904,2008
Ireland,391600,358450,750050,2008
Israel,19100,15750,34850,2008
Italy,147250,250400,397650,2008
Japan,326368,338900,665268,2008
Luxembourg,57000,44500,101500,2008
Mexico,68600,109500,178100,2008
Netherlands,437893,451100,888993,2008
Panama,134500,135500,270000,2008
Portugal,0,0,0,2008
Singapore,29500,20000,49500,2008
Spain,54525,134000,188525,2008
Sweden,52727,67098,119825,2008
Switzerland,1636911,1626396,3263307,2008
Taiwan,0,0,0,2008
UK,2492063,2682656,5176219,2008
Australia,32376,17000,49376,2010
Belgium,458500,409000,868500,2010
Brazil,60500,107550,169050,2010
Canada,349666,315234,682300,2010
Denmark,183318,122250,307568,2010
France,573550,398750,983800,2010
Germany,1172375,1084852,2268227,2010
Ireland,520500,446300,968800,2010
Israel,67700,51500,119200,2010
Italy,205200,323850,530050,2010
Japan,470400,460250,939750,2010
Luxembourg,94400,36000,130400,2010
Mexico,33400,225000,260800,2010
Netherlands,534500,479150,1025900,2010
Panama,3500,31000,35500,2010
Portugal,1250,1000,2250,2010
Russia,0,0,0,2010
Singapore,37500,26000,66500,2010
Spain,114250,149500,264750,2010
Sweden,39500,61500,101000,2010
Switzerland,1351255,1373094,2738349,2010
UK,2968712,2612339,5634451,2010
Australia,53353,24500,77853,2012
Belgium,369381,448500,818881,2012
Brazil,23500,102000,125500,2012
Canada,357058,479624,839182,2012
Denmark,173148,197394,371542,2012
France,433250,491651,930401,2012
Germany,1011650,1466898,2478548,2012
Ireland,390300,576842,972142,2012
Israel,111500,178500,290000,2012
Italy,199000,351550,550550,2012
Japan,616998,809751,1426749,2012
Luxembourg,58750,81192,139942,2012
Mexico,42200,240050,282250,2012
Netherlands,428394,702160,1132554,2012
Norway,3500,500,4000,2012
Panama,3500,46000,49500,2012
Portugal,4500,3000,7500,2012
Singapore,6000,34500,40500,2012
Spain,125000,215000,345000,2012
Sweden,21500,67509,89009,2012
Switzerland,1400500,1737100,3139600,2012
UK,2326463,3474718,5800181,2012
United Arab Emirates,6000,18000,24000,2012
Australia,31655,44100,75755,2014
Belgium,261431,334667,598598,2014
Brazil,17000,148000,165000,2014
Canada,271900,450723,723623,2014
China,36500,68700,105200,2014
Denmark,247190,284348,531538,2014
France,595550,771600,1371150,2014
Germany,1026750,1346150,2383100,2014
Ireland,560400,877350,1439250,2014
Israel,61000,151500,212500,2014
Italy,148450,226200,374650,2014
Japan,787708,1028849,1822557,2014
Luxembourg,54500,69500,126500,2014
Mexico,70350,280100,350450,2014
Netherlands,338090,797150,1137240,2014
Norway,3250,9000,12250,2014
Panama,2000,24600,26600,2014
Portugal,7800,3500,11300,2014
Singapore,21000,24500,46000,2014
Spain,205500,326475,533975,2014
Sweden,18800,65100,83900,2014
