country,dems_sum,repubs_sum,total_sum,year
Australia,35200,114600,149800,2020
Belgium,211000,236300,447300,2020
Brazil,31500,145500,177000,2020
Canada,823610,897888,1723998,2020
China,95000,181000,276000,2020
Denmark,307927,257155,565082,2020
France,433800,483761,917561,2020
Germany,1717900,1743300,3462200,2020
Ireland,721650,924800,1646450,2020
Israel,53400,79350,132750,2020
Italy,121800,171250,293050,2020
Japan,1109316,1492473,2601789,2020
Luxembourg,8500,8000,16500,2020
Mexico,50169,175550,225719,2020
Netherlands,461000,667500,1129500,2020
Norway,3500,3750,7250,2020
Panama,470,5000,5470,2020
Portugal,10000,13000,23000,2020
Saudi Arabia,2000,3500,5500,2020
Singapore,0,11200,11200,2020
South Korea,242000,249000,491000,2020
Spain,262000,350000,612000,2020
Sweden,124000,170300,294300,2020
Switzerland,1670300,1840350,3510650,2020
Taiwan,2500,0,2500,2020
UK,2202125,3167378,5380003,2020
United Arab Emirates,0,1200,1200,2020
