industry_name,total,dem,repub,year
Agribusiness,22477790,10217167,12260623,2008
Crop Production & Basic Processing,6016881,3566892,2449989,2008
Tobacco,2021675,683227,1338448,2008
Dairy,2650382,1226886,1423496,2008
Poultry & Eggs,728871,330121,398750,2008
Livestock,788649,318333,470316,2008
Agricultural Services/Products,4694677,2042511,2652166,2008
Food Processing & Sales,3747446,1329788,2417658,2008
Forestry & Forest Products,1804359,699359,1105000,2008
Sugar cane & sugar beets,3221806,2078079,1143727,2008
"Vegetables, fruits and tree nut",689200,347200,342000,2008
Farm bureaus,430825,170855,259970,2008
Communications/Electronics,22830577,12303720,10526857,2008
Printing & Publishing,822435,369660,452775,2008
TV/Movies/Music,3162845,1846407,1316438,2008
Telephone Utilities,5973429,2887479,3085950,2008
Telecom Services,6120744,3461340,2659404,2008
Electronics Mfg & Equip,5762926,3138585,2624341,2008
Internet,988198,600249,387949,2008
Architectural services,136500,89500,47000,2008
Construction,16441456,6504379,9937077,2008
General Contractors,4615987,1396373,3219614,2008
Home Builders,2711946,1265971,1445975,2008
Special Trade Contractors,1711207,553707,1157500,2008
Construction Services,3700625,2024792,1675833,2008
Building Materials & Equipment,3701691,1263536,2438155,2008
"Book, newspaper & periodical publishing",483585,263860,219725,2008
Commercial TV & radio stations,1312049,750249,561800,2008
Cable & satellite TV production,300050,166250,133800,2008
TV production,16550,14550,2000,2008
Motion Picture production & distribution,342928,237638,105290,2008
Recorded Music & music production,466768,270220,196548,2008
Computer software,1723014,986414,736600,2008
Defense,12100192,6404786,5695406,2008
Defense Aerospace,5124794,2606594,2518200,2008
Defense Electronics,4704554,2611357,2093197,2008
Misc Defense,2270844,1186835,1084009,2008
Energy & Natural Resources,26020468,10247895,15772573,2008
Oil & Gas,9162379,2218925,6943454,2008
Mining,2172983,782467,1390516,2008
Electric Utilities,12551679,6087213,6464466,2008
Waste Management,559903,245350,314553,2008
Natural Gas transmission & distribution,1290786,401600,889186,2008
Coal mining,861883,282367,579516,2008
Alternate energy production & services,247863,176534,71329,2008
"Finance, Insurance & Real Estate",63349223,31831592,31517631,2008
Commercial Banks,10015817,4596537,5419280,2008
