pac_name,affiliate,total,dem,repub,lean,year
Americans for a Republican Majority,Tom DeLay (R-Texas),854641,0,849641,Solidly Republican/Conservative,2000
PAC to the Future,Nancy Pelosi (D-Calif),827650,827650,0,Solidly Democrat/Liberal,2000
Keep Our Majority PAC,Dennis Hastert (R-Ill),762505,0,757505,Solidly Republican/Conservative,2000
Majority Leader's Fund,Dick Armey (R-Texas),751096,0,751096,Solidly Republican/Conservative,2000
AmeriPAC: The Fund for a Greater America,Steny H. Hoyer (D-Md),643500,643500,0,Solidly Democrat/Liberal,2000
Freedom Project,John Boehner (R-Ohio),542432,0,542432,Solidly Republican/Conservative,2000
American Success PAC,David Dreier (R-Calif),519049,0,519049,Solidly Republican/Conservative,2000
Effective Government Cmte,Richard A Gephardt (D-Mo),487500,482500,5000,Solidly Democrat/Liberal,2000
Republican Majority Fund,Don Nickles (R-Okla),477087,0,477087,Solidly Republican/Conservative,2000
DASHPAC,Tom Daschle (D-SD),453100,453100,0,Solidly Democrat/Liberal,2000
New Republican Majority Fund,Trent Lott (R-Miss),413961,0,413961,Solidly Republican/Conservative,2000
National Leadership PAC,Charles B. Rangel (D-NY),405875,395875,10000,Solidly Democrat/Liberal,2000
LA PAC,Henry A. Waxman (D-Calif),346000,346000,0,Solidly Democrat/Liberal,2000
Committee for the Preservation of Capitalism,Jim McCrery (R-La),341500,0,341500,Solidly Republican/Conservative,2000
Bayou Leader PAC,Billy Tauzin (R-La),301377,0,301377,Solidly Republican/Conservative,2000
PAC for a Change,Barbara Boxer (D-Calif),299560,297560,2000,Solidly Democrat/Liberal,2000
Future Leaders PAC,Jerry Lewis (R-Calif),260000,2500,257500,Solidly Republican/Conservative,2000
Americans for Responsible Leadership,Evan Bayh (D-Ind),248605,248605,0,Solidly Democrat/Liberal,2000
Sandhills PAC,Chuck Hagel (R-Neb),242500,0,242500,Solidly Republican/Conservative,2000
Leadership PAC 2000,Michael G Oxley (R-Ohio),239500,0,239500,Solidly Republican/Conservative,2000
Northern Lights PAC,Ted Stevens (R-Alaska),215794,0,215794,Solidly Republican/Conservative,2000
Re-Elect Freshmen of the Republican Majority,Jerry Weller (R-Ill),212250,2000,210250,Solidly Republican/Conservative,2000
Fund for a Free Market America,Phil Crane (R-Ill),209000,0,209000,Solidly Republican/Conservative,2000
Rely on Your Beliefs,Roy Blunt (R-Mo),206577,-3500,209077,Solidly Republican/Conservative,2000
Conservative Victory Fund,ex-Rep. Steven D Symms (R-Idaho),201091,417,199190,Solidly Republican/Conservative,2000
Federal Victory Fund,Tom Davis (R-Va),200500,4000,196500,Solidly Republican/Conservative,2000
Evergreen Fund,David E Bonior (D-Mich),199720,198720,1000,Solidly Democrat/Liberal,2000
American Renewal PAC,J C Watts Jr (R-Okla),194341,0,194341,Solidly Republican/Conservative,2000
Pioneer PAC,Dave Hobson (R-Ohio),186810,0,186810,Solidly Republican/Conservative,2000
New Millennium PAC,Robert Menendez (D-NJ),185828,183828,2000,Solidly Democrat/Liberal,2000
Congressional Majority Cmte,Bill Thomas (R-Calif),185000,0,185000,Solidly Republican/Conservative,2000
Defend America PAC,Richard C. Shelby (R-Ala),170000,0,170000,Solidly Republican/Conservative,2000
Fund for American Opportunity,Spencer Abraham (R-Mich),147500,0,147500,Solidly Republican/Conservative,2000
Committee for a Livable Future,Earl Blumenauer (D-Ore),145500,145500,0,Solidly Democrat/Liberal,2000
Bluegrass Cmte,Mitch McConnell (R-Ky),142500,0,142500,Solidly Republican/Conservative,2000
Searchlight Leadership Fund,Harry Reid (D-Nev),137954,137954,0,Solidly Democrat/Liberal,2000
Lone Star Fund,Martin Frost (D-Texas),135250,135250,0,Solidly Democrat/Liberal,2000
Senate Victory Fund,Thad Cochran (R-Miss),132000,0,132000,Solidly Republican/Conservative,2000
Committee for a Progressive Congress,David R Obey (D-Wis),131000,131000,0,Solidly Democrat/Liberal,2000
Fight-PAC,Rick Santorum (R-Pa),131000,0,131000,Solidly Republican/Conservative,2000
District 20 Florida Federal PAC,Peter Deutsch (D-Fla),131000,129000,2000,Solidly Democrat/Liberal,2000
Texas Freedom Fund,Joe Barton (R-Texas),130500,0,130500,Solidly Republican/Conservative,2000
Wisconsin Leadership PAC,F James Sensenbrenner Jr. (R-Wis),120689,0,120689,Solidly Republican/Conservative,2000
Alliance for the West,Larry Craig (R-Idaho),112286,0,112286,Solidly Republican/Conservative,2000
Fund for a Responsible Future,Thomas J Bliley Jr (R-Va),102000,0,100000,Solidly Republican/Conservative,2000
Live Free or Die,Bob Smith (R-NH),100450,0,99450,Solidly Republican/Conservative,2000
Good Government for America,ex-Sen. Paul Coverdell (R-Ga),99554,0,99554,Solidly Republican/Conservative,2000
New American Century,Deborah Pryce (R-Ohio),97290,0,97290,Solidly Republican/Conservative,2000
Rhode Island PAC,Patrick J. Kennedy (D-RI),91500,91500,0,Solidly Democrat/Liberal,2000
Volunteer PAC,Bill Frist (R-Tenn),91000,2000,89000,Solidly Republican/Conservative,2000
TEAM PAC,J D Hayworth (R-Ariz),78500,0,78500,Solidly Republican/Conservative,2000
Friends of Bob Livingston PAC,ex-Rep. Robert L Livingston (R-La),78185,500,77685,Solidly Republican/Conservative,2000
Solutions America,Mayor Rudolph W Giuliani (R-NY),76991,0,76991,Solidly Republican/Conservative,2000
Northwest Leadership PAC,Slade Gorton (R-Wash),76000,0,76000,Solidly Republican/Conservative,2000
Mainstream America PAC,John Breaux (D-La),75800,73800,2000,Solidly Democrat/Liberal,2000
Washington Fund,Jennifer Dunn (R-Wa),75500,0,75500,Solidly Republican/Conservative,2000
Restore America PAC,Sam Brownback (R-Kan),74000,0,74000,Solidly Republican/Conservative,2000
Changing Tide Cmte,Wayne Allard (R-Colo),72500,0,72500,Solidly Republican/Conservative,2000
